Rank,Ticker,Company_Name,Final_Score,Recommendation,Strategy,Momentum_12_1,Return_12M,Current_Drawdown,PE_Percentile,Forensic_Score,F_Score,QFII_Net_4W,Fund_Net_4W
1,6515.TW,穎崴,102.0,🔥 強勢追擊,🔥 Alpha Stock,250.89,284.78,-2.85,96.4,85.0,6.0,,
2,2449.TW,京元電子,96.0,🔥 強勢追擊,🔥 Alpha Stock,180.68,185.93,-9.81,86.1,85.0,6.0,,
3,2313.TW,華通,92.39999999999999,🔥 強勢追擊,🔥 Alpha Stock,103.02,162.3,-8.33,89.0,85.0,6.0,,
4,8046.TW,南電,86.39999999999999,🔥 強勢追擊,🔥 Alpha Stock,142.35,206.95,-3.05,92.1,85.0,6.0,,
5,2615.TW,萬海,80.30000000000001,💎 早期佈局,💎 Early Bird,11.7,4.62,-40.87,15.0,85.0,5.0,,
6,2330.TW,台積電,78.0,🔥 強勢追擊,🔥 Alpha Stock,55.81,61.19,-3.02,75.3,85.0,6.0,,
7,3017.TW,奇鋐,78.0,🔥 強勢追擊,🔥 Alpha Stock,202.32,220.87,-2.69,74.9,85.0,5.0,,
8,2382.TW,廣達,77.0,💎 早期佈局,💎 Early Bird,19.36,16.17,-19.94,21.7,85.0,4.0,,
9,2603.TW,長榮,77.0,💎 早期佈局,💎 Early Bird,0.0,-4.35,-28.21,17.7,85.0,4.0,,
10,2542.TW,興富發,75.0,🎯 逆向抄底,🎯 Contrarian,-9.62,-11.81,-42.19,6.2,60.0,1.0,,
11,2354.TW,鴻準,75.0,🎯 逆向抄底,🎯 Contrarian,-14.2,-20.78,-41.62,42.9,85.0,4.0,,
12,3034.TW,聯詠,75.0,🎯 逆向抄底,🎯 Contrarian,-22.83,-33.02,-43.59,0.9,65.0,3.0,,
13,6415.TW,矽力*-KY,75.0,🎯 逆向抄底,🎯 Contrarian,-48.23,-27.97,-50.99,8.2,85.0,5.0,,
14,2376.TW,技嘉,74.80000000000001,💎 早期佈局,💎 Early Bird,1.73,-6.03,-40.68,0.3,65.0,4.0,,
15,2707.TW,晶華,74.80000000000001,💎 早期佈局,💎 Early Bird,-3.35,-2.82,-25.69,4.3,85.0,5.0,,
16,1301.TW,台塑,74.80000000000001,💎 早期佈局,💎 Early Bird,22.71,38.82,-36.04,0.0,65.0,2.0,,
17,1402.TW,遠東新,71.5,💎 早期佈局,💎 Early Bird,-9.07,-7.29,-26.67,26.0,85.0,5.0,,
18,9917.TW,中保科,71.5,💎 早期佈局,💎 Early Bird,-10.4,-13.17,-28.96,0.3,85.0,4.0,,
19,2308.TW,台達電,67.2,🔥 強勢追擊,🔥 Alpha Stock,178.02,189.67,-10.16,,,,4160.0,1515.0
20,6505.TW,台塑化,66.0,🔥 強勢追擊,🔥 Alpha Stock,45.46,49.55,-33.18,84.4,85.0,6.0,,
