Ticker,Company_Name,Composite_Score,Rating,FCF_Yield,Momentum_12_1,Return_12M,Return_1M,Momentum_Status,Stability_Score,Asset_Growth,Max_Drawdown,Current_Drawdown,Margin_Score,Margin_Sentiment,Health_Score,CCR_TTM,Sloan_Ratio,Health_Rating,Current_Price,Decision,Market_Regime,RS_Ratio,RS_Status,PE,PE_Percentile,PB,PB_Percentile,Score,Result_Tag,GPM_Inflection,OPM_Inflection,Operating_Leverage,Rev_YoY,Rev_Acceleration,Rev_New_High,Forensic_Score,F_Score,Hollow_Ratio,ROIC,Gem_Score,Gem_Type,Rev_Acc,Chip_Trend,QFII_Net_4W,Fund_Net_4W,RS,PSR_Percentile,Alpha_Score,Alpha_Tag,Strategy
6515.TW,穎崴,49,➡️ C級：中性觀望,0.0,250.89,284.78,33.89,🚀 極強動能 (>30%),,11.17,-52.11,-2.85,75,融資大減✅ / 高券資比🔥,80.0,0.94,-0.0258,⭐ A級：質優生,843.0,⚠️ Hold (Caution),Bull,2.366,🚀 極強 (Bull),103.07,96.4,27.02,96.6,58.0,✅ B級：趨勢改善,False,True,0.81,7.36,0.0,True,85.0,6.0,,0.0,,,,,,,,,85.0,🚀爆發動能 | 🔄拐點浮現 | 📈營收創高,🔥 Alpha Stock
2449.TW,京元電子,58,✅ B級：穩健持有,0.02,180.68,185.93,5.25,🚀 極強動能 (>30%),,5.81,-48.53,-9.81,65,融資大減✅,85.0,1.99,-0.0444,⭐ A級：質優生,85.4,⚠️ Hold (Caution),Bull,1.339,🚀 極強 (Bull),31.77,86.1,7.28,88.0,53.0,✅ B級：趨勢改善,False,False,2.9,7.18,0.0,True,85.0,6.0,,0.0,,,,,,,,,80.0,🚀爆發動能 | 📈營收創高,🔥 Alpha Stock
2313.TW,華通,52,➡️ C級：中性觀望,0.02,103.02,162.3,59.28,🚀 極強動能 (>30%),,2.52,-51.11,-8.33,50,➡️ 中性,85.0,1.48,-0.0323,⭐ A級：質優生,71.0,⚠️ Hold (Caution),Bull,1.508,🚀 極強 (Bull),35.2,89.0,4.74,89.2,93.0,⭐ A級：持續性擴張,False,False,1.4,8.18,0.0,True,85.0,6.0,,0.0,,,,,,,,,77.0,🚀爆發動能 | 📈營收創高,🔥 Alpha Stock
8046.TW,南電,54,➡️ C級：中性觀望,0.0,142.35,206.95,64.6,🚀 極強動能 (>30%),,-6.49,-66.77,-3.05,70,融資大減✅,90.0,3.83,-0.0159,🏆 S級：優質生,224.5,⚠️ Hold (Caution),Bull,1.548,🚀 極強 (Bull),184.27,92.1,5.78,96.5,53.0,✅ B級：趨勢改善,False,False,1.15,2.54,0.0,True,85.0,6.0,,0.0,,,,,,,,,72.0,🚀爆發動能 | 📈營收創高,🔥 Alpha Stock
2330.TW,台積電,51,➡️ C級：中性觀望,0.02,55.81,61.19,5.37,🚀 極強動能 (>30%),,19.28,-30.84,-3.02,45,融券大減,85.0,1.23,-0.0369,⭐ A級：質優生,697.0,⚠️ Hold (Caution),Bull,1.0,⚠️ 弱勢,28.84,75.3,9.16,94.7,58.0,✅ B級：趨勢改善,False,False,0.0,9.07,0.0,True,85.0,6.0,,0.0,,,,,,,,,65.0,🔥強勢動能 | 📈營收創高,🔥 Alpha Stock
3017.TW,奇鋐,41,⚠️ D級：謹慎評估,0.01,202.32,220.87,18.55,🚀 極強動能 (>30%),,58.06,-58.01,-2.69,58,融資減少,55.0,0.87,-0.0103,⚠️ C級：警示,534.0,⚠️ Hold (Caution),Bull,1.009,➡️ 持平,42.77,74.9,17.47,85.1,50.0,✅ B級：趨勢改善,False,False,2.71,0.0,0.0,True,85.0,5.0,,0.0,,,,,,,,,65.0,🚀爆發動能 | 📈營收創高,🔥 Alpha Stock
2308.TW,台達電,53,➡️ C級：中性觀望,0.01,178.02,189.67,11.65,🚀 極強動能 (>30%),,13.02,-35.89,-10.16,58,融資減少,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,💎💎💎 SSS級隱藏寶石,6.31,🔥 雙多 (外資+投信買超),4160.0,1515.0,21.43,86.0,56.0,🚀爆發動能 | 💎雙拐點 | 📈營收創高,🔥 Alpha Stock
6213.TW,聯茂,55,✅ B級：穩健持有,0.02,63.31,65.95,2.64,🚀 極強動能 (>30%),,-4.6,-64.33,-14.96,50,➡️ 中性,90.0,1.14,-0.0071,🏆 S級：優質生,91.0,✅ Hold,Bull,0.725,⚠️ 弱勢,32.54,31.3,2.14,66.2,53.0,✅ B級：趨勢改善,False,False,1.59,7.33,0.0,True,85.0,6.0,,0.0,,,,,,,,,55.0,🔥強勢動能 | 📈營收創高,🔥 Alpha Stock
4958.TW,臻鼎-KY,54,➡️ C級：中性觀望,0.07,40.2,68.14,27.95,🚀 極強動能 (>30%),,5.82,-44.29,-4.52,45,融資大增⚠️ / 融券大增🎯,85.0,2.2,-0.0737,⭐ A級：質優生,99.0,⚠️ Hold (Caution),Bull,0.819,⚠️ 弱勢,24.74,93.1,1.75,82.6,83.0,⭐ A級：持續性擴張,False,False,0.15,15.52,0.0,True,85.0,5.0,,0.0,,,,,,,,,55.0,📈正向動能 | 📈營收創高,🔥 Alpha Stock
6505.TW,台塑化,54,➡️ C級：中性觀望,0.02,45.46,49.55,4.09,🚀 極強動能 (>30%),,-2.06,-58.34,-33.18,45,融券大減,90.0,9.8,-0.1183,🏆 S級：優質生,73.4,⚠️ Hold (Caution),Bull,0.798,⚠️ 弱勢,77.58,84.4,1.54,22.8,93.0,⭐ A級：持續性擴張,False,False,1.03,6.96,0.0,True,85.0,6.0,,0.0,,,,,,,,,55.0,📈正向動能 | 📈營收創高,🔥 Alpha Stock
2360.TW,致茂,41,⚠️ D級：謹慎評估,0.0,210.59,216.23,5.64,🚀 極強動能 (>30%),,21.72,-51.2,-6.35,58,融資減少,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,💎💎💎 SSS級隱藏寶石,16.33,📈 外資買超,4333.0,-1284.0,38.91,91.4,48.0,🚀爆發動能 | 💎雙拐點 | 📈營收創高,🔥 Alpha Stock
