Rank,Ticker,Company_Name,Cross_Composite_Score,Momentum_Cross_Score,Quality_Cross_Score,Structural_Cross_Score,Valuation_Cross_Score,Chip_Cross_Score,Risk_Penalty,Investment_Thesis,Risk_Level,Rating,Momentum_12_1,Return_12M,RS_Ratio,Forensic_Score,F_Score,Sloan_Ratio,ROIC,PE_Percentile,PB_Percentile,Max_Drawdown,Current_Drawdown,Gem_Score,QFII_Net_4W,Fund_Net_4W
1,2308.TW,台達電,72.20882352941177,77.33333333333333,65.0,35.294117647058826,58.0,70.0,0.0,🚀強勢動能 | 💎雙拐點 | 💎隱藏寶石,✅ 低風險,➡️ C級：中性觀望,178.02,189.67,,,,,,,,-35.89,-10.16,110.0,4160.0,1515.0
2,6515.TW,穎崴,68.99411764705883,100.0,85.0,76.47058823529412,43.0,60.0,-10.0,🚀強勢動能 | 🔄結構改善,⚡ 中高風險,➡️ C級：中性觀望,250.89,284.78,2.366,85.0,6.0,-0.0258,0.0,96.4,96.6,-52.11,-2.85,,,
3,2337.TW,旺宏,66.71470588235294,100.0,65.0,58.82352941176471,58.0,50.0,-5.0,🚀強勢動能 | 🔄結構改善,✅ 低風險,➡️ C級：中性觀望,322.53,375.14,3.001,65.0,2.0,-0.1104,0.0,,93.7,-42.69,-5.28,,,
4,3481.TW,群創,66.45882352941177,62.66666666666667,65.0,35.294117647058826,61.0,52.0,0.0,🚀強勢動能 | 💎雙拐點 | 💎隱藏寶石,✅ 低風險,✅ B級：穩健持有,64.88,63.3,,,,,,,,-33.93,-24.31,100.0,-352673.0,37278.0
5,2303.TW,聯電,66.21470588235294,73.33333333333333,75.0,58.82352941176471,58.0,50.0,0.0,🚀強勢動能,✅ 低風險,✅ B級：穩健持有,39.69,53.37,1.003,85.0,4.0,-0.0994,0.0,69.1,72.0,-30.85,-19.29,,,
6,2449.TW,京元電子,66.16470588235295,86.66666666666667,85.0,58.82352941176471,43.0,57.0,-5.0,🚀強勢動能,✅ 低風險,✅ B級：穩健持有,180.68,185.93,1.339,85.0,6.0,-0.0444,0.0,86.1,88.0,-48.53,-9.81,,,
7,2313.TW,華通,64.96470588235294,100.0,85.0,58.82352941176471,43.0,55.0,-10.0,🚀強勢動能,⚡ 中高風險,➡️ C級：中性觀望,103.02,162.3,1.508,85.0,6.0,-0.0323,0.0,89.0,89.2,-51.11,-8.33,,,
8,2383.TW,台光電,64.91470588235295,86.66666666666667,60.0,58.82352941176471,43.0,57.0,0.0,🚀強勢動能,✅ 低風險,➡️ C級：中性觀望,233.73,257.14,1.073,80.0,4.0,0.0937,0.0,94.6,94.7,-35.7,-4.41,,,
9,1795.TW,美時,64.74705882352941,60.0,80.0,88.23529411764706,56.0,57.0,-5.0,💎雙拐點,✅ 低風險,➡️ C級：中性觀望,10.84,35.4,1.134,85.0,5.0,-0.045,0.0,79.7,64.5,-48.54,-3.58,,,
10,1802.TW,台玻,64.41470588235295,86.66666666666667,60.0,58.82352941176471,73.0,57.0,-5.0,🚀強勢動能,✅ 低風險,✅ B級：穩健持有,172.59,221.95,1.136,65.0,3.0,-0.0443,0.0,0.0,97.1,-42.18,-2.22,,,
