Ticker,Company_Name,Health_Score,CCR_TTM,FCF_Status,FCF_Value,FCF_Yield,FCF_Yield_Status,Margin_Stability,Stability_Status,Asset_Growth,Asset_Growth_Status,Sloan_Ratio,Sloan_Status,Inv_Days,Inv_Days_Change,Inv_Risk,Health_Rating,Score_Details,Score_V1,Result_Tag_V1
2385.TW,群光,75,0.81,✅ 正流入,8783.25,0.04,⚡ 偏低 (0-2%),,有效季數不足,-1.04,🏆 收縮 (<0%，謹慎經營),0.0273,✅ 健康,55.7,3.7,✅ 健康 (穩定),✅ B級：正常,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",98,🔥 S級：結構性拐點
2542.TW,興富發,30,-0.53,⚠️ 負流出 (擴產),-8836.88,-0.02,⚠️ 負值 (-5~0%),,有效季數不足,9.69,✅ 穩健 (0-10%),0.0535,⚡ 留意,2725.6,537.1,🚫 極高風險 (嚴重積壓),🛑 D級：高風險,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": -10, ""inv_penalty"": -15, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",98,🏆 SSS級：雙拐點確認
2609.TW,陽明,85,1.12,✅ 正流入,47152.15,0.16,⚡ 偏低 (0-2%),,有效季數不足,3.77,✅ 穩健 (0-10%),-0.023,🏆 優秀 (現金流強勁),8.6,-0.4,✅ 健康 (穩定),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",98,🏆 SSS級：雙拐點確認
2603.TW,長榮,90,1.11,✅ 正流入,134250.87,0.18,⚡ 偏低 (0-2%),,有效季數不足,-1.66,🏆 收縮 (<0%，謹慎經營),-0.024,🏆 優秀 (現金流強勁),10.0,-1.3,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",98,🏆 SSS級：雙拐點確認
1476.TW,儒鴻,60,0.73,✅ 正流入,6488.53,0.02,⚡ 偏低 (0-2%),,有效季數不足,-0.75,🏆 收縮 (<0%，謹慎經營),0.0194,✅ 健康,54.4,-2.0,✅ 健康 (穩定),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",98,🏆 SSS級：雙拐點確認
6412.TW,群電,55,0.79,✅ 正流入,2459.62,0.03,⚡ 偏低 (0-2%),,有效季數不足,2.25,✅ 穩健 (0-10%),0.0169,✅ 健康,51.6,1.0,✅ 健康 (穩定),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",98,🏆 SSS級：雙拐點確認
2357.TW,華碩,60,0.65,✅ 正流入,22898.43,0.03,⚡ 偏低 (0-2%),,有效季數不足,7.24,✅ 穩健 (0-10%),0.0381,✅ 健康,74.2,-9.1,✅ 健康 (改善),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 5, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",98,🏆 SSS級：雙拐點確認
9917.TW,中保科,85,1.09,✅ 正流入,3957.37,0.03,⚡ 偏低 (0-2%),,有效季數不足,7.67,✅ 穩健 (0-10%),-0.0107,🏆 優秀 (現金流強勁),13.3,0.6,✅ 健康 (穩定),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",98,🏆 SSS級：雙拐點確認
2633.TW,台灣高鐵,90,2.67,✅ 正流入,21111.83,0.05,⚡ 偏低 (0-2%),,有效季數不足,-1.91,🏆 收縮 (<0%，謹慎經營),-0.0356,🏆 優秀 (現金流強勁),26.3,-0.2,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",98,🏆 SSS級：雙拐點確認
1402.TW,遠東新,90,1.83,✅ 正流入,44548.63,0.11,⚡ 偏低 (0-2%),,有效季數不足,-1.03,🏆 收縮 (<0%，謹慎經營),-0.0318,🏆 優秀 (現金流強勁),60.7,0.1,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",98,🏆 SSS級：雙拐點確認
