Ticker,Company_Name,Current_Price,Decision,Decision_Reason,Market_Regime,Momentum_12_1,Momentum_Status,Momentum_Pass,RS_Ratio,RS_Status,RS_Pass,Margin_Score,Margin_Sentiment,Margin_Positive,Max_Drawdown,Current_Drawdown,Valuation_Type,PE,PE_Percentile,PB,PB_Percentile,Health_Score,Health_Rating
2385.TW,群光,164.5,📈 Accumulate,低估但動能未達標 (PE),Bull,-25.31,⚠️ 弱勢,False,0.587,⚠️ 弱勢,False,60,融券大增🎯,False,-56.29,-53.97,PE,10.5,3.5,2.1,3.9,75,✅ B級：正常
2542.TW,興富發,39.5,📈 Accumulate,低估但動能未達標 (PE),Bull,-9.62,⚠️ 弱勢,False,0.6,⚠️ 弱勢,False,53,融資減少 / 融券大減,False,-45.14,-42.19,PE,14.6,6.2,1.52,10.7,30,🛑 D級：高風險
2609.TW,陽明,46.65,📈 Accumulate,低估但動能未達標 (PE),Bull,-9.81,⚠️ 弱勢,False,0.571,⚠️ 弱勢,False,50,➡️ 中性,False,-42.0,-39.24,PE,6.74,8.9,0.58,6.4,85,⭐ A級：質優生
2603.TW,長榮,149.0,📈 Accumulate,低估但動能未達標 (PE),Bull,0.0,⚡ 中性,False,0.626,⚠️ 弱勢,False,50,➡️ 中性,False,-31.86,-28.21,PE,4.46,17.7,0.75,28.2,90,🏆 S級：優質生
1476.TW,儒鴻,537.0,➡️ Hold,估值合理 (PE),Bull,-29.97,⚠️ 弱勢,False,0.676,⚠️ 弱勢,False,75,融資大減✅ / 融券大增🎯,True,-44.74,-28.79,PE,20.09,34.8,4.08,30.7,60,⚠️ C級：警示
6412.TW,群電,150.0,➡️ Hold,估值合理 (PE),Bull,-36.39,⚠️ 弱勢,False,0.582,⚠️ 弱勢,False,45,融資大增⚠️ / 融券大增🎯,False,-56.59,-48.56,PE,15.38,41.2,2.69,14.6,55,⚠️ C級：警示
2357.TW,華碩,464.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-14.86,⚠️ 弱勢,False,0.521,⚠️ 弱勢,False,35,融資大增⚠️,False,-37.8,-32.62,PE,10.72,0.9,1.45,29.4,60,⚠️ C級：警示
9917.TW,中保科,117.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-10.4,⚠️ 弱勢,False,0.605,⚠️ 弱勢,False,50,➡️ 中性,False,-29.29,-28.96,PE,16.01,0.3,3.65,4.3,85,⭐ A級：質優生
2633.TW,台灣高鐵,29.35,➡️ Hold,估值合理 (PE),Bull,3.06,⚡ 中性,False,0.648,⚠️ 弱勢,False,45,融券大減,False,-17.24,-11.87,PE,23.98,69.1,2.14,34.1,90,🏆 S級：優質生
1402.TW,遠東新,30.7,📈 Accumulate,低估 + 籌碼正向 (PE),Bull,-9.07,⚠️ 弱勢,False,0.685,⚠️ 弱勢,False,70,融資大減✅ / 融券增加,True,-32.05,-26.67,PE,18.1,26.0,0.69,24.1,90,🏆 S級：優質生
6409.TW,旭隼,1365.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-35.44,⚠️ 弱勢,False,0.567,⚠️ 弱勢,False,52,融資增加 / 融券大增🎯,False,-64.01,-61.18,PE,20.35,6.7,9.44,3.7,65,⚠️ C級：警示
3714.TW,富采,43.35,➡️ Hold,估值合理 (PB),Bull,-16.14,⚠️ 弱勢,False,0.704,⚠️ 弱勢,False,50,➡️ 中性,False,-42.38,-27.44,PB,,,0.65,48.6,70,✅ B級：正常
1605.TW,華新,35.3,✅ Hold,估值合理 + 動能強 (PE),Bull,63.49,🚀 極強動能 (Bull),True,1.049,➡️ 持平,False,40,融資大增⚠️ / 融券增加,False,-55.94,-18.17,PE,100.69,56.8,1.03,68.9,85,⭐ A級：質優生
2313.TW,華通,71.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,103.02,🚀 極強動能 (Bull),True,1.508,🚀 極強 (Bull),True,50,➡️ 中性,False,-51.11,-8.33,PE,35.2,89.0,4.74,89.2,85,⭐ A級：質優生
2439.TW,美律,105.5,➡️ Hold,估值合理 (PE),Bull,-8.08,⚠️ 弱勢,False,0.562,⚠️ 弱勢,False,53,融資減少 / 融券大減,False,-36.34,-32.48,PE,15.54,44.7,1.5,7.9,50,⚠️ C級：警示
2207.TW,和泰車,634.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-9.23,⚠️ 弱勢,False,0.619,⚠️ 弱勢,False,50,➡️ 中性,False,-26.93,-26.93,PE,15.88,6.8,3.67,0.0,85,⭐ A級：質優生
5904.TW,寶雅,505.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-5.67,⚠️ 弱勢,False,0.611,⚠️ 弱勢,False,60,融券大增🎯,False,-28.75,-21.61,PE,15.71,17.9,6.45,9.9,85,⭐ A級：質優生
2457.TW,飛宏,56.2,➡️ Hold,估值合理 (PE),Bull,-16.0,⚠️ 弱勢,False,0.831,⚠️ 弱勢,False,35,融資大增⚠️,False,-68.22,-53.29,PE,53.75,46.0,1.37,21.1,80,⭐ A級：質優生
1504.TW,東元,45.85,✅ Hold,估值合理 + 動能強 (PE),Bull,48.33,🚀 極強動能 (Bull),True,0.954,⚠️ 弱勢,False,35,融資大增⚠️,False,-33.81,-33.22,PE,34.7,57.9,2.13,40.9,50,⚠️ C級：警示
2353.TW,宏碁,46.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-28.6,⚠️ 弱勢,False,0.604,⚠️ 弱勢,False,52,融資增加 / 融券大增🎯,False,-57.09,-54.1,PE,19.46,14.6,1.1,5.2,50,⚠️ C級：警示
3532.TW,台勝科,156.5,⚠️ Hold (Caution),高估但動能強 (PE),Bull,49.04,🚀 極強動能 (Bull),True,1.063,✅ 強勢 (Bull),True,75,融資大減✅ / 融券大增🎯,True,-66.16,-27.57,PE,73.63,83.4,2.13,45.5,90,🏆 S級：優質生
1101.TW,台泥,32.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-26.43,⚠️ 弱勢,False,0.719,⚠️ 弱勢,False,60,融券大增🎯,False,-42.13,-27.09,PE,21.6,19.6,0.88,41.9,90,🏆 S級：優質生
2408.TW,南亞科,65.4,⚠️ Hold (Caution),高估但動能強 (PB),Bull,895.07,🚀 極強動能 (Bull),True,3.95,🚀 極強 (Bull),True,45,融券大減,False,-65.91,-15.77,PB,,,5.42,83.0,80,⭐ A級：質優生
2637.TW,慧洋-KY,52.4,➡️ Hold,估值合理 (PE),Bull,12.08,➡️ 正向,False,0.744,⚠️ 弱勢,False,45,融券大減,False,-40.92,-20.0,PE,16.67,47.9,1.14,80.7,90,🏆 S級：優質生
3035.TW,智原,455.0,📉 Trim,高估 + 動能轉弱 (PE),Bull,-20.78,⚠️ 弱勢,False,0.696,⚠️ 弱勢,False,45,融券大減,False,-67.25,-64.4,PE,55.48,74.5,3.33,5.6,95,🏆 S級：優質生
3443.TW,創意,1460.0,✅ Hold,估值合理 + 動能強 (PE),Bull,83.97,🚀 極強動能 (Bull),True,1.293,🚀 極強 (Bull),True,58,融資減少,False,-49.23,-14.13,PE,83.19,69.1,24.28,67.2,20,🛑 D級：高風險 (財務虛胖)
1513.TW,中興電,120.5,📈 Accumulate,低估但動能未達標 (PE),Bull,-3.0,⚡ 中性,False,0.668,⚠️ 弱勢,False,45,融資大增⚠️ / 融券大增🎯,False,-54.78,-30.15,PE,21.34,13.2,4.14,53.7,90,🏆 S級：優質生
2354.TW,鴻準,49.4,➡️ Hold,估值合理 (PE),Bull,-14.2,⚠️ 弱勢,False,0.526,⚠️ 弱勢,False,60,融券大增🎯,False,-50.87,-41.62,PE,24.59,42.9,0.78,25.4,65,⚠️ C級：警示
3406.TW,玉晶光,407.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-5.98,⚠️ 弱勢,False,0.716,⚠️ 弱勢,False,60,融資大減✅ / 融券大減,False,-55.33,-31.78,PE,15.34,24.9,2.15,25.5,90,🏆 S級：優質生
2382.TW,廣達,266.5,🔥 Strong Buy,低估 + 動能強 + 多頭 (PE),Bull,19.36,✅ 強勢動能 (Bull),True,0.672,⚠️ 弱勢,False,58,融資減少,False,-47.65,-19.94,PE,15.33,21.7,4.93,52.1,42,⚠️ C級：警示
2241.TW,原相,32.2,✅ Hold,估值合理 + 動能強 (PB),Bull,16.27,✅ 強勢動能 (Bull),True,0.794,⚠️ 弱勢,False,65,融資大減✅,True,-60.98,-44.1,PB,,,2.36,39.3,75,✅ B級：正常
6414.TW,樺漢,283.0,📈 Accumulate,低估但動能未達標 (PE),Bull,1.21,⚡ 中性,False,0.59,⚠️ 弱勢,False,42,融資增加,False,-42.27,-24.67,PE,11.94,11.0,1.58,7.4,80,⭐ A級：質優生
2002.TW,中鋼,24.6,📉 Trim,高估 + 動能轉弱 (PE),Bull,-0.82,⚡ 中性,False,0.703,⚠️ 弱勢,False,60,融券大增🎯,False,-32.25,-19.58,PE,192.0,96.8,1.1,51.3,90,🏆 S級：優質生
6505.TW,台塑化,73.4,⚠️ Hold (Caution),高估但動能強 (PE),Bull,45.46,🚀 極強動能 (Bull),True,0.798,⚠️ 弱勢,False,45,融券大減,False,-58.34,-33.18,PE,77.58,84.4,1.54,22.8,90,🏆 S級：優質生
4919.TW,新唐,128.5,📉 Trim,高估 + 動能轉弱 (PE),Bull,-43.03,⚠️ 弱勢,False,0.652,⚠️ 弱勢,False,60,融券大增🎯,False,-62.42,-55.02,PE,140.19,71.7,1.81,14.2,60,⚠️ C級：警示
3661.TW,世芯-KY,4430.0,📈 Accumulate,低估但動能未達標 (PE),Bull,11.82,➡️ 正向,False,0.508,⚠️ 弱勢,False,37,融資增加 / 融券大減,False,-58.13,-26.75,PE,44.18,24.5,6.93,29.4,95,🏆 S級：優質生
2105.TW,正新,45.1,📈 Accumulate,低估但動能未達標 (PE),Bull,-42.19,⚠️ 弱勢,False,0.525,⚠️ 弱勢,False,45,融券大減,False,-52.59,-50.24,PE,19.46,29.5,1.21,3.9,90,🏆 S級：優質生
6669.TW,緯穎,2345.0,🔥 Strong Buy,低估 + 動能強 + 多頭 (PE),Bull,102.3,🚀 極強動能 (Bull),True,0.708,⚠️ 弱勢,False,42,融資增加,False,-47.05,-23.52,PE,15.12,9.0,6.21,39.3,-10,🚫 F級：拒絕往來 (財報警示)
2368.TW,金像電,273.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,233.66,🚀 極強動能 (Bull),True,1.086,✅ 強勢 (Bull),True,63,融資減少,False,-48.18,-4.64,PE,47.74,93.8,14.11,95.1,10,🛑 D級：高風險 (財務虛胖)
9904.TW,寶成,30.5,➡️ Hold,估值合理 (PE),Bull,-14.21,⚠️ 弱勢,False,0.72,⚠️ 弱勢,False,50,➡️ 中性,False,-38.72,-29.5,PE,8.17,42.6,0.68,15.2,60,⚠️ C級：警示
1802.TW,台玻,18.1,🔥 Strong Buy,低估 + 動能強 + 多頭 (PE),Bull,172.59,🚀 極強動能 (Bull),True,1.136,🚀 極強 (Bull),True,60,融券增加,False,-42.18,-2.22,PE,67.93,0.0,3.43,97.1,70,✅ B級：正常
2451.TW,創見,79.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,165.33,🚀 極強動能 (Bull),True,1.451,🚀 極強 (Bull),True,65,融資大減✅,True,-40.98,-17.82,PE,34.33,75.5,4.81,74.9,20,🚫 F級：拒絕往來 (財報警示)
3706.TW,神達,45.1,🔥 Strong Buy,低估 + 動能強 + 多頭 (PE),Bull,29.04,✅ 強勢動能 (Bull),True,0.611,⚠️ 弱勢,False,50,➡️ 中性,False,-51.41,-27.85,PE,17.35,20.1,1.5,51.4,22,🛑 D級：高風險 (財務虛胖)
2606.TW,裕民,49.25,📈 Accumulate,低估但動能未達標 (PE),Bull,8.37,➡️ 正向,False,0.752,⚠️ 弱勢,False,60,融券大增🎯,False,-37.28,-18.41,PE,16.0,27.2,1.47,72.5,90,🏆 S級：優質生
2615.TW,萬海,47.2,📈 Accumulate,低估但動能未達標 (PE),Bull,11.7,➡️ 正向,False,0.556,⚠️ 弱勢,False,50,➡️ 中性,False,-43.16,-40.87,PE,6.13,15.0,0.81,31.1,85,⭐ A級：質優生
3231.TW,緯創,130.5,🔥 Strong Buy,低估 + 動能強 + 多頭 (PE),Bull,48.35,🚀 極強動能 (Bull),True,0.729,⚠️ 弱勢,False,30,融資大增⚠️ / 融券大減,False,-43.41,-19.56,PE,16.52,20.0,2.52,58.7,-15,🚫 F級：拒絕往來 (財報警示)
6005.TW,群益證,16.15,➡️ Hold,估值合理 (PE),Bull,-0.89,⚡ 中性,False,0.874,⚠️ 弱勢,False,30,融資大增⚠️ / 融券大減,False,-31.71,-5.75,PE,12.26,62.1,1.43,87.3,65,⚠️ C級：警示
2344.TW,華邦電,26.35,⚠️ Hold (Caution),高估但動能強 (PE),Bull,633.29,🚀 極強動能 (Bull),True,3.791,🚀 極強 (Bull),True,45,融券大減,False,-52.24,-21.15,PE,122.69,72.3,4.86,76.4,65,⚠️ C級：警示
1326.TW,台化,56.5,⚠️ Hold (Caution),高估但動能強 (PE),Bull,27.19,✅ 強勢動能 (Bull),True,0.935,⚠️ 弱勢,False,58,融資減少,False,-61.88,-30.72,PE,108.33,74.1,0.84,30.8,70,✅ B級：正常
2376.TW,技嘉,370.5,📈 Accumulate,低估但動能未達標 (PE),Bull,1.73,⚡ 中性,False,0.534,⚠️ 弱勢,False,35,融資大增⚠️,False,-52.49,-40.68,PE,12.51,0.3,2.73,24.6,20,🛑 D級：高風險 (財務虛胖)
2356.TW,英業達,58.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-1.47,⚡ 中性,False,0.702,⚠️ 弱勢,False,35,融資大增⚠️,False,-44.52,-27.91,PE,17.55,19.4,2.25,33.7,45,⚠️ C級：警示 (Sloan+CCR雙殺)
4938.TW,和碩,83.7,➡️ Hold,估值合理 (PE),Bull,-25.92,⚠️ 弱勢,False,0.643,⚠️ 弱勢,False,50,➡️ 中性,False,-43.08,-42.08,PE,14.48,39.6,0.97,11.1,95,🏆 S級：優質生
3034.TW,聯詠,506.0,📈 Accumulate,低估但動能未達標 (PE),Bull,-22.83,⚠️ 弱勢,False,0.552,⚠️ 弱勢,False,50,➡️ 中性,False,-43.59,-43.59,PE,12.58,0.9,3.45,27.0,60,⚠️ C級：警示
2301.TW,光寶科,108.5,✅ Hold,估值合理 + 動能強 (PE),Bull,54.18,🚀 極強動能 (Bull),True,0.832,⚠️ 弱勢,False,45,融券大減,False,-42.02,-15.13,PE,26.27,62.0,4.49,75.5,70,✅ B級：正常
2412.TW,中華電,121.0,📉 Trim,高估 + 動能轉弱 (PE),Bull,6.38,➡️ 正向,False,0.656,⚠️ 弱勢,False,55,融券增加,False,-7.42,-3.99,PE,26.77,78.2,2.73,70.3,85,⭐ A級：質優生
6285.TW,啟碁,141.5,📉 Trim,高估 + 動能轉弱 (PE),Bull,-51.33,⚠️ 弱勢,False,0.996,⚠️ 弱勢,False,45,融資大增⚠️ / 融券大增🎯,False,-43.53,-9.88,PE,29.26,83.7,2.78,81.3,90,🏆 S級：優質生
2480.TW,敦陽科,121.0,➡️ Hold,估值合理 (PE),Bull,0.0,⚡ 中性,False,0.511,⚠️ 弱勢,False,58,融資減少,False,-26.91,-23.42,PE,17.57,48.4,4.51,61.7,50,⚠️ C級：警示
6446.TW,藥華藥,311.5,📈 Accumulate,低估但動能未達標 (PE),Bull,-35.22,⚠️ 弱勢,False,0.962,⚠️ 弱勢,False,45,融資大增⚠️ / 融券大增🎯,False,-42.22,-5.78,PE,50.9,12.8,8.22,72.7,85,⭐ A級：質優生
4958.TW,臻鼎-KY,99.0,⚠️ Hold (Caution),高估但動能強 (PE),Bull,40.2,🚀 極強動能 (Bull),True,0.819,⚠️ 弱勢,False,45,融資大增⚠️ / 融券大增🎯,False,-44.29,-4.52,PE,24.74,93.1,1.75,82.6,85,⭐ A級：質優生
3665.TW,貿聯-KY,232.5,✅ Hold,估值合理 + 動能強 (PE),Bull,132.55,🚀 極強動能 (Bull),True,0.848,⚠️ 弱勢,False,50,➡️ 中性,False,-48.49,-25.0,PE,31.41,55.0,5.84,66.2,47,⚠️ C級：警示
2352.TW,佳世達,47.6,📉 Trim,高估 + 動能轉弱 (PE),Bull,-29.03,⚠️ 弱勢,False,0.626,⚠️ 弱勢,False,60,融券大增🎯,False,-55.24,-47.35,PE,31.3,84.5,1.45,20.3,90,🏆 S級：優質生
