Ticker,Company_Name,Forensic_Score,Forensic_Verdict,Sloan_Ratio,F_Score,F_Score_Items,F_Score_Reliable,Hollow_Ratio,Quality_Warning,ROIC,Warnings,Score_Details,Health_Score,Decision
2308.TW,台達電,85,⭐ AA：財務健康,-0.0169,5,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",85,⚠️ Hold (Caution)
3481.TW,群創,85,⭐ AA：財務健康,-0.0248,6,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",90,⚠️ Hold (Caution)
2360.TW,致茂,65,⚠️ B：需留意,0.1796,5,6,True,,False,0.0,盈餘品質差,"{""base"": 80, ""sloan_penalty"": -15, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""盈餘品質差""]}",7,✅ Hold
3036.TW,文曄,85,⭐ AA：財務健康,-0.0485,5,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",75,🔥 Strong Buy
2887.TW,台新金,65,⚠️ B：需留意,0.0079,1,5,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",35,⚠️ Hold (Caution)
2883.TW,凱基金,65,⚠️ B：需留意,0.0105,2,5,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",55,➡️ Hold
2882.TW,國泰金,65,⚠️ B：需留意,0.0002,2,5,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",55,✅ Hold
2881.TW,富邦金,65,⚠️ B：需留意,0.0045,3,5,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",55,📈 Accumulate
2880.TW,華南金,85,⭐ AA：財務健康,0.0074,4,5,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",55,📉 Trim
2845.TW,遠東銀,65,⚠️ B：需留意,0.0307,2,5,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",55,📉 Trim
