Ticker,Company_Name,Gem_Score,Gem_Type,Rev_Acc,Rev_New_High,Chip_Trend,QFII_Net_4W,Fund_Net_4W,RS,PSR,PSR_Percentile,RD_Momentum,In_Elite_List,Score_Details
2308.TW,台達電,110,💎💎💎 SSS級隱藏寶石,6.31,False,🔥 雙多 (外資+投信買超),4160.0,1515.0,21.43,5.89,86.0,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 20, ""rs_bonus"": 20, ""rd_bonus"": 0, ""value_bonus"": 0}"
3481.TW,群創,100,💎💎💎 SSS級隱藏寶石,6.76,False,📊 投信買超,-352673.0,37278.0,27.02,0.78,60.5,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 10, ""rs_bonus"": 20, ""rd_bonus"": 0, ""value_bonus"": 0}"
2360.TW,致茂,100,💎💎💎 SSS級隱藏寶石,16.33,True,📈 外資買超,4333.0,-1284.0,38.91,16.07,91.4,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 10, ""rs_bonus"": 20, ""rd_bonus"": 0, ""value_bonus"": 0}"
3036.TW,文曄,90,💎💎 S級：法人共識潛力股,15.42,False,🔥 雙多 (外資+投信買超),4657.0,1424.0,-26.31,0.19,37.5,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 20, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2887.TW,台新金,80,💎💎 S級：強勢潛力股,111.72,True,📈 外資買超,265807.0,-26543.0,-9.36,6.48,99.3,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2883.TW,凱基金,80,💎💎 S級：價值轉機股,12.31,True,📈 外資買超,285289.0,-352.0,-34.12,4.3,28.6,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2882.TW,國泰金,80,💎💎 S級：強勢潛力股,8.97,False,📈 外資買超,109193.0,-62973.0,-32.57,3.71,95.9,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2881.TW,富邦金,80,💎💎 S級：強勢潛力股,12.94,False,📈 外資買超,51198.0,-65583.0,-44.92,4.58,32.1,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2880.TW,華南金,75,💎 A級：籌碼卡位型,0.93,False,🔥 雙多 (外資+投信買超),38533.0,5285.0,-30.43,7.07,98.4,,False,"{""base"": 40, ""rev_acc_bonus"": 15, ""chip_bonus"": 20, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2845.TW,遠東銀,70,💎 A級：營收爆發型,10.22,True,⚠️ 雙空 (外資+投信賣超),-36861.0,-480.0,-60.97,4.83,64.0,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 0, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2809.TW,京城銀,70,💎 A級：潛力關注,7.08,True,➡️ N/A (無籌碼資料),,,-32.79,7.16,85.6,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 0, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2317.TW,鴻海,70,💎 A級：潛力關注,6.57,False,⚠️ 雙空 (外資+投信賣超),-70186.0,-25200.0,-42.19,0.4,57.9,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 0, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
1102.TW,亞泥,70,💎 A級：潛力關注,5.16,False,⚠️ 雙空 (外資+投信賣超),-27012.0,-23586.0,-61.39,1.71,8.7,,False,"{""base"": 40, ""rev_acc_bonus"": 30, ""chip_bonus"": 0, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
4904.TW,遠傳,65,💎 A級：籌碼卡位型,0.35,False,📈 外資買超,3973.0,-11215.0,-42.27,3.08,42.9,,False,"{""base"": 40, ""rev_acc_bonus"": 15, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2324.TW,仁寶,65,💎 A級：籌碼卡位型,2.73,False,📈 外資買超,14588.0,-49235.0,-39.02,0.17,78.9,,False,"{""base"": 40, ""rev_acc_bonus"": 15, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
3023.TW,信邦,65,💎 A級：籌碼卡位型,0.06,False,📈 外資買超,7650.0,-1341.0,-52.66,1.81,35.4,,False,"{""base"": 40, ""rev_acc_bonus"": 15, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2889.TW,國票金,65,💎 A級：籌碼卡位型,0.14,True,📈 外資買超,1915.0,-141.0,-47.09,8.26,88.9,,False,"{""base"": 40, ""rev_acc_bonus"": 15, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
9921.TW,巨大,65,💎 A級：籌碼卡位型,1.57,False,📈 外資買超,5281.0,-163.0,-68.02,0.57,7.2,,False,"{""base"": 40, ""rev_acc_bonus"": 15, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
1503.TW,士電,65,💎 A級：籌碼卡位型,4.44,False,📈 外資買超,13057.0,-39.0,-30.38,3.03,33.4,,False,"{""base"": 40, ""rev_acc_bonus"": 15, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
2890.TW,永豐金,65,💎 A級：籌碼卡位型,0.2,True,📈 外資買超,12573.0,-11764.0,-38.64,6.1,100.0,,False,"{""base"": 40, ""rev_acc_bonus"": 15, ""chip_bonus"": 10, ""rs_bonus"": 0, ""rd_bonus"": 0, ""value_bonus"": 0}"
