Ticker,Company_Name,Score,Result_Tag,Latest_GPM,GPM_YoY_Slope,GPM_Inflection,GPM_Consecutive,Latest_OPM,OPM_YoY_Slope,OPM_Inflection,OPM_Consecutive,Operating_Leverage,Rev_YoY,Rev_Acceleration,Rev_New_High,Non_Op_Ratio,Score_Details,Score_Percentile
1476.TW,儒鴻,98,🏆 SSS級：雙拐點確認,28.15,2.5,True,1,18.51,3.06,True,1,1.22,7.53,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.22)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
2633.TW,台灣高鐵,98,🏆 SSS級：雙拐點確認,43.27,1.32,True,1,39.53,1.44,True,1,1.09,2.19,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.09)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
2609.TW,陽明,98,🏆 SSS級：雙拐點確認,17.65,2.03,True,1,12.3,2.21,True,1,1.09,3.23,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.09)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
2385.TW,群光,98,🔥 S級：結構性拐點,18.43,0.7,True,1,8.84,1.01,False,2,1.44,11.07,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_consecutive"": ""+10 (OPM連續2季)"", ""ol"": ""+15 (OL=1.44)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
6409.TW,旭隼,98,🔥 S級：結構性拐點,29.05,0.38,True,1,21.16,0.97,False,2,2.55,15.16,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_consecutive"": ""+10 (OPM連續2季)"", ""ol"": ""+15 (OL=2.55)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
2542.TW,興富發,98,🏆 SSS級：雙拐點確認,25.87,5.5,True,1,12.96,5.74,True,1,1.04,0.96,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.04)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
1402.TW,遠東新,98,🏆 SSS級：雙拐點確認,20.84,0.92,True,1,7.41,1.37,True,1,1.49,3.04,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.49)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
6412.TW,群電,98,🏆 SSS級：雙拐點確認,17.05,0.59,True,1,6.98,0.85,True,1,1.44,9.95,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.44)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
9917.TW,中保科,98,🏆 SSS級：雙拐點確認,33.18,0.06,True,1,16.47,0.4,True,1,6.67,6.17,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=6.67)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
2603.TW,長榮,98,🏆 SSS級：雙拐點確認,26.36,4.75,True,1,22.43,5.75,True,1,1.21,8.1,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.21)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
2357.TW,華碩,98,🏆 SSS級：雙拐點確認,14.79,0.98,True,1,5.64,1.47,True,1,1.5,5.78,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.50)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""+3 (營收正成長)"", ""non_op"": ""+5 (低業外)""}",96.37681159420289
3714.TW,富采,95,🏆 SSS級：雙拐點確認,8.26,1.34,True,1,-12.77,1.77,True,1,1.32,-1.1,0.0,False,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.32)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""0"", ""non_op"": ""+5 (低業外)""}",91.66666666666666
1605.TW,華新,95,🏆 SSS級：雙拐點確認,6.83,2.07,True,1,0.61,2.17,True,1,1.05,0.0,0.0,True,0,"{""base"": 30, ""gpm_inflection"": ""+15 (GPM拐點)"", ""opm_inflection"": ""+10 (OPM拐點)"", ""ol"": ""+15 (OL=1.05)"", ""gpm_improve"": ""+10 (GPM↑)"", ""opm_improve"": ""+10 (OPM↑)"", ""rev_momentum"": ""0"", ""non_op"": ""+5 (低業外)""}",91.66666666666666
