序號,欄位名稱,資料型態,欄位中文名稱,單位,欄位說明
"1","coid","char(7)","公司","-","交易所編的公司碼"
"2","mdate","datetime","年/月","-","資料年月"
"3","key3","char(5)","期間別","-","期間別: A= 累計; Q= 單季; TTM= 移動4季"
"4","no","char(3)","序號","-","同一年月下依編表日排序編流水號"
"5","sem","char(1)","季別","-","季別"
"6","merg","char(1)","合併(Y/N)","-","表示該資料係來自合併(Y)或個別(N)財務"
"7","curr","char(4)","幣別","-","幣別"
"8","annd","datetime","編表日","-","即資料之發布日"
"9","fin_ind","char(10)","產業別","-","產業別: F=一般產業; H= 銀行業; B= 保險業; S= 證券業;? O= 金控"
"10","ip12","decimal(16,2)","營業收入","T","公司自行結算的營業收入"
"11","gm","decimal(16,2)","營業毛利","T","公司自行結算的營業毛利"
"12","opi","decimal(16,2)","營業利益","T","公司自行結算的營業利益"
"13","isibt","decimal(16,2)","稅前淨利","T","公司自行結算的稅前淨利"
"14","isni","decimal(16,2)","稅後淨利","T","公司自行結算的合併總損益"
"15","isnip","decimal(16,2)","母公司淨利","T","公司自行結算的歸屬母公司淨利"
"16","r306","decimal(16,2)","每股稅前淨利","元","公司自行結算的每股稅前淨利"
"17","r316","decimal(16,2)","每股稅後淨利","元","公司自行結算的每股稅後淨利"
"18","eps","decimal(16,2)","每股盈餘","元","公司自行結算的每股基本盈餘, 係以歸屬母公司淨利計算而得"
"19","r105","decimal(16,2)","營業毛利率","%","毛利/營業總收入 *100 (%)<br />若營業總收入<= 0, 不予計算"
"20","r106","decimal(16,2)","營業利益率","%","營業利潤/營業總收入 *100 (%)<br />若營業總收入<= 0, 不予計算"
"21","r107","decimal(16,2)","稅前淨利率","%","利潤總額/營業總收入 *100 (%)<br />**若營業總收入<= 0, 不予計算"
"22","r108","decimal(16,2)","稅後淨利率","%","淨利潤/營業總收入 *100 (%)<br />**若營業總收入<= 0, 不予計算"
"23","r401","decimal(16,2)","營收成長率","%","當期營業總收入與去年同期比較成長的幅度<br />當期營業總收入-去年同期營業總收入) /ABS(去年同期營業總收入) *100(%)"
"24","r402","decimal(16,2)","營業毛利成長率","%","當期毛利與去年同期比較成長的幅度<br />(當期毛利-去年同期毛利) /ABS(去年同期毛利) *100(%)"
"25","r403","decimal(16,2)","營業利益成長率","%","當期營業利潤與去年同期比較成長的幅度<br />(當期營業利潤-去年同期營業利潤) /ABS(去年同期營業利潤) *100(%)"
"26","r404","decimal(16,2)","稅前淨利成長率","%","當期利潤總額與去年同期比較成長的幅度<br />(當期利潤總額-去年同期利潤總額) /ABS(去年同期利潤總額) *100(%)"
"27","r405","decimal(16,2)","稅後淨利成長率","%","當期淨利潤與去年同期比較成長的幅度<br />(當期淨利潤-去年同期淨利潤) /ABS(去年同期淨利潤) *100(%)"
