序號,欄位名稱,資料型態,欄位中文名稱,單位,欄位說明
"1","coid","char(7)","公司","-","臺灣上市櫃公司代碼&簡稱"
"2","mdate","datetime","年/月","-","年/月"
"3","key3","char(24)","公告日","-","公告日"
"4","no","char(5)","期間別(A/Q/TTM)","-","A為累計值,Q為單季值,TTM為近十二個月值"
"5","sem","char(1)","季別","-","季別"
"6","curr","char(4)","幣別","-","幣別(台幣千元)"
"7","merg","char(1)","合併(Y/N)","-","合併標記為Y，非合併標記為N"
"8","begd","datetime","財報年月起日","-","財報年月起日"
"9","endd","datetime","財報年月迄日","-","財報年月迄日"
"10","ind_c","char(10)","產業別(中)","-","產業別分為五類，包含(F=一般、H=銀行、O=金控、S=證券、B=保險)。"
"11","ind_e","char(20)","產業別(英)","-","產業別分為五類，包含(F=一般、H=銀行、O=金控、S=證券、B=保險)。"
"12","a0100","decimal(16,0)","流動資產","T","企業因營業所產生之資產，預期將於企業之正常營業週期中變現、消耗或意圖出售者。"
"13","a0960","decimal(16,0)","非流動資產","T","係指流動資產以外，具長期性質之有形、無形資產及金融資產。"
"14","a0010","decimal(16,0)","資產總額","T","係指企業過去的交易或其他事項所形成的、由企業擁有或控制、預期會給企業帶來經濟效益的資源總額。"
"15","a1100","decimal(16,0)","流動負債","T","因營業活動所產生，且預期於企業正常營業週期內清償之負債。"
"16","a1800","decimal(16,0)","非流動負債","T","係指償還期限在一年或一年以上之負債。"
"17","a1000","decimal(16,0)","負債總額","T","係指企業過去的交易或其他事項所形成的、由企業擁有或控制、預期會給企業帶來經濟損失的項目總額。"
"18","a200e","decimal(16,0)","母公司股東權益合計","T","係指合併股東權益中非屬少數股權之金額，其主要組成項目為股本、資本公積、保留盈餘（或累積虧損）及股東權益其他項目項目之金額減去庫藏股票面值。"
"19","a2900","decimal(16,0)","非控制權益","T","於合併報告方帳列之科目，係子公司之股東權益非屬母公司直接或間接持有者。"
"20","a2000","decimal(16,0)","股東權益總額","T","為總資產減去總負債後之餘額，即為股東在企業所擁有之權益。"
"21","a0020","decimal(16,0)","負債及股東權益總額","T","負債及股東權益總額"
"22","a3100","decimal(16,0)","營業收入淨額","T","營業收入淨額。"
"23","a3200","decimal(16,0)","營業成本","T","使存貨達到可售或可用於生產的狀態及地點所發生的必要支出。"
"24","a3295","decimal(16,0)","營業毛利","T","營業毛利。"
"25","a3300","decimal(16,0)","營業費用","T","係企業從事營業活動所產生的費用，依公司出具明細表之揭露方式，亦可能按功能別從中劃分出歸屬於推銷、管理及研發費用之部分。"
"26","a3395","decimal(16,0)","營業利益","T","營業利益。"
"27","a3501","decimal(16,0)","財務成本","T","包括各類負債之利息、公允價值避險工具與調整被避險項目之損益、現金流量避險工具公允價值變動自權益分類至損益等項目，扣除符合資本化部分。"
