序號,欄位名稱,資料型態,欄位中文名稱,單位,欄位說明
"1","coid","char(7)","公司","-","公司代碼及名稱"
"2","mdate","datetime","股利公告日","-","股利公告日"
"3","distri_end","datetime","盈餘分配_迄日","-","除息盈餘分派_迄日"
"4","dir_d","datetime","董事會日期","-","決議董事會日期"
"5","mt_d","datetime","股東會日期","-","股東會日期"
"6","zyy","datetime","盈餘分派_年度","-","盈餘分派_年度"
"7","int_time","char(2)","股利支付次數","-","股利支付次數"
"8","distri_type","char(3)","股息分配型態","-","Q=季度，數值 為季別  I=半年度，數值 1=上半年；2=下半年  A=年度，數值 0=全年度"
"9","distri_beg","datetime","盈餘分配_起日","-","除息盈餘分派_起日"
"10","edexdate","datetime","除息日","-","除息日"
"11","emexdate","datetime","除權日","-","除權日—無償配股"
"12","r16a","decimal(15,2)","股利支付率","%","股利支付率指現金股利總額占股利分配年度之稅後淨利比率"
"13","divc","decimal(16,12)","現金股利(元)","-","每股現金股利總和"
"14","ern","decimal(16,12)","盈餘配股(元)","-","每股股票股利—盈餘配股"
"15","cpl","decimal(16,12)","公積配股(元)","-","每股股票股利—公積配股"
"16","divs","decimal(16,12)","無償配股合計(元)","-","每股股票股利總和"
"17","div_date","datetime","股息發放日","-","現金股息發放日"
"18","d_issue2","datetime","股票股利發放日","-","股票股利發放日期"
"19","currency","char(4)","發放幣別","-","發放幣別"
"20","shortd","datetime","除權息最後回補日","-","除權息前融券最後回補日"
