序號,欄位名稱,資料型態,欄位中文名稱,單位,欄位說明
"1","coid","char(7)","證券名稱","-","證券名稱"
"2","mdate","datetime","資料日","-","資料日期"
"3","mkt","char(6)","市場別","-","證券所在市場"
"4","edate1","datetime","公告日(集保庫存)","-","集保庫存餘額的資料公告日"
"5","fc_s","decimal(9,0)","集保庫存股數(千股)","千股","集保庫存之股數"
"6","pledg_s","decimal(9,0)","設質股數(千股)","千股","集保庫存之設質股數"
"7","edate2","datetime","公告日(集保股權)","-","集保股權分散的資料公告日"
"8","shrm_u400","decimal(9,0)","未滿400張集保人數","-","級距內的集保戶總數 (級距：持股/單位數未滿400張)"
"9","shrs_u400","decimal(10,0)","未滿400張集保張數","千股","級距內的集保戶持股的加總 (級距：持股/單位數未滿400張)"
"10","shrp_u400","decimal(11,4)","未滿400張集保占比","%","級距內的集保戶數佔全體比例 (級距：持股/單位數未滿400張)"
"11","shrm_o400","decimal(9,0)","超過400張集保人數","-","級距內的集保戶總數 (級距：持股/單位數超過400張)"
"12","shrs_o400","decimal(10,0)","超過400張集保張數","千股","級距內的集保戶持股的加總 (級距：持股/單位數超過400張)"
"13","shrp_o400","decimal(11,4)","超過400張集保占比","%","級距內的集保戶數佔全體比例 (級距：持股/單位數超過400張)"
"14","shrm_4_6","decimal(9,0)","400-600張集保人數","-","級距內的集保戶總數 (級距：持股/單位數為400- 600張)"
"15","shrs_4_6","decimal(10,0)","400-600張集保張數","千股","級距內的集保戶持股的加總 (級距：持股/單位數為400- 600張)"
"16","shrp_4_6","decimal(11,4)","400-600張集保占比","%","級距內的集保戶數佔全體比例 (級距：持股/單位數為400- 600張)"
"17","shrm_6_8","decimal(9,0)","600-800張集保人數","-","級距內的集保戶總數 (級距：持股/單位數為600- 800張)"
"18","shrs_6_8","decimal(10,0)","600-800張集保張數","千股","級距內的集保戶持股的加總 (級距：持股/單位數為600- 800張)"
"19","shrp_6_8","decimal(11,4)","600-800張集保占比","%","級距內的集保戶數佔全體比例 (級距：持股/單位數為600- 800張)"
"20","shrm_8_10","decimal(9,0)","800-1000張集保人數","-","級距內的集保戶總數 (級距：持股/單位數為800- 1000張)"
"21","shrs_8_10","decimal(10,0)","800-1000張集保張數","千股","級距內的集保戶持股的加總 (級距：持股/單位數為800- 1000張)"
"22","shrp_8_10","decimal(11,4)","800-1000張集保占比","%","級距內的集保戶數佔全體比例 (級距：持股/單位數為800- 1000張)"
"23","shrm_o1000","decimal(9,0)","超過1000張集保人數","-","級距內的集保戶總數 (級距：持股/單位數超過1000張)"
"24","shrs_o1000","decimal(10,0)","超過1000張集保張數","千股","級距內的集保戶持股的加總 (級距：持股/單位數超過1000張)"
"25","shrp_o1000","decimal(11,4)","超過1000張集保占比","%","級距內的集保戶數佔全體比例 (級距：持股/單位數超過1000張)"
